樣本編號,性別,年齡,每日閱讀報紙分鐘,每日看電視分鐘,每日使用網路分鐘,每週閱讀雜誌分鐘,抽樣權數
523117,Male,22,0,60,180,0,1.21865686962265
523201,Male,22,0,90,90,0,1.21865686962265
523222,Female,22,0,60,180,0,1.21865686962265
526101,Female,24,0,270,360,90,1.24317202003123
551202,Female,19,0,0,0,0,1.24317202003123
600105,Male,21,30,0,240,600,1.16763824576469
600111,Male,23,0,0,720,0,1.16763824576469
600121,Female,20,0,180,240,0,1.16763824576469
600219,Female,23,10,60,480,120,1.16763824576469
604206,Female,24,0,5,180,0,1.11504673744942
621222,Female,23,0,120,240,0,1.26494119020799
651111,Male,19,0,180,240,0,1.07044521771677
651122,Male,19,0,120,300,0,1.07044521771677
651202,Female,23,0,60,210,0,1.07044521771677
651219,Male,24,30,30,120,0,1.07044521771677
653106,Female,21,0,0,300,120,1.11504673744942
653116,Female,19,0,120,330,0,1.11504673744942
653206,Female,24,0,330,600,840,1.11504673744942
653218,Male,20,0,0,390,0,1.11504673744942
701109,Female,24,0,180,420,10,1.16223124828666
701112,Male,22,10,120,120,0,1.16223124828666
702103,Female,20,0,60,120,0,1.16763824576469
702209,Female,22,0,90,90,90,1.16763824576469
709112,Female,24,0,120,780,0,1.25908361057793
709203,Male,20,0,60,240,180,1.25908361057793
717109,Female,24,0,210,120,0,1.16223124828666
717121,Female,21,0,60,360,90,1.16223124828666
717211,Male,22,0,150,300,0,1.16223124828666
722212,Male,22,60,30,300,120,1.16763824576469
722219,Male,19,0,30,150,0,1.16763824576469
722221,Female,19,0,90,360,0,1.16763824576469
801116,Female,24,0,30,240,0,0.991617947824746
801121,Male,20,30,90,180,20,0.991617947824746
811109,Female,19,0,30,180,60,1.01626792045268
811117,Male,19,0,50,360,5,1.01626792045268
811129,Male,19,0,90,300,0,1.01626792045268
811131,Female,20,5,30,180,0,1.01626792045268
811216,Male,20,15,60,120,0,1.01626792045268
813101,Female,19,0,30,300,0,1.04670777851405
813106,Female,24,0,120,120,0,1.04670777851405
813136,Female,21,0,30,180,120,1.04670777851405
813212,Male,23,20,20,360,60,1.04670777851405
813222,Male,20,0,60,60,60,1.04670777851405
820105,Male,23,0,30,210,150,1.01626792045268
820109,Female,21,0,120,60,0,1.01626792045268
820115,Female,22,0,150,210,0,1.01626792045268
820127,Female,21,0,180,300,0,1.01626792045268
820205,Female,19,0,240,120,0,1.01626792045268
821120,Male,19,0,25,210,0,1.29325587138695
821203,Female,24,10,180,240,0,1.29325587138695
821212,Female,22,0,25,120,0,1.29325587138695
830115,Male,24,0,180,600,0,0.991617947824746
830119,Female,19,5,90,300,60,0.991617947824746
830131,Male,23,60,180,300,120,0.991617947824746
830138,Male,21,0,180,480,0,0.991617947824746
830204,Male,23,0,360,360,0,0.991617947824746
830228,Female,23,0,120,60,0,0.991617947824746
830238,Female,22,0,0,60,15,0.991617947824746
931208,Male,21,0,240,60,0,1.29325587138695
931213,Female,22,0,60,180,0,1.29325587138695
931218,Female,21,0,60,210,0,1.29325587138695
946123,Female,19,10,330,180,0,1.29325587138695
946124,Male,24,0,60,60,60,1.29325587138695
946125,Male,23,0,270,180,0,1.29325587138695
946227,Female,22,30,30,300,30,1.29325587138695
973112,Male,24,5,120,60,0,0.964992309007118
973122,Male,24,0,90,300,0,0.964992309007118
973124,Female,24,0,30,360,0,0.964992309007118
981209,Male,22,0,0,120,0,1.04294714282112
981214,Male,20,0,0,180,0,1.04294714282112
