縣市,行政區,租賃年月日,建物型態,主要用途,租賃層次,總樓層數,建築完成年月,建物面積平方公尺,建物面積坪,房,廳,衛,有無隔間,有無傢俱,有無電梯,出租型態,月租金元,每坪月租金元,案件編號
臺北市,內湖區,1140813,華廈(10層含以下有電梯),住家用,四層,9,0780626,151.38,45.79,4,1,3,有,有,有,整棟(戶)出租,35000,764.0,RPQPMLOKQHKGFCA28CC
臺北市,松山區,1140811,公寓(5樓含以下無電梯),住家用,四層,4,0600406,68.51,20.72,2,1,1,有,有,無,整棟(戶)出租,20000,965.0,RPSNMLOKQHKGFDA38CC
臺北市,信義區,1140813,住宅大樓(11層含以上有電梯),住家用,十二層,15,0970205,44.760000000000005,13.54,1,1,1,有,有,有,獨立套房,17500,1292.0,RPUNMLOKQHKGFDA58CC
臺北市,松山區,1140813,住宅大樓(11層含以上有電梯),住家用,九層,13,0990525,71.17,21.53,2,1,1,有,有,有,整棟(戶)出租,23000,1068.0,RPVNMLOKQHKGFDA68CC
臺北市,松山區,1140814,住宅大樓(11層含以上有電梯),住家用,十層,12,0780602,73.97,22.38,2,2,1,有,有,有,整棟(戶)出租,32500,1452.0,RPWNMLOKQHKGFDA78CC
臺北市,北投區,1140813,公寓(5樓含以下無電梯),住家用,二層,5,0741216,131.54,39.79,3,2,2,有,有,無,整棟(戶)出租,15000,377.0,RPPNMLOKQHKGFEA18CC
臺北市,士林區,1140812,住宅大樓(11層含以上有電梯),住家用,八層,11,0850916,28.119999999999997,8.51,1,0,1,有,有,有,獨立套房,16000,1881.0,RPTNMLOKQHKGFEA58CC
臺北市,北投區,1140812,公寓(5樓含以下無電梯),住家用,四層,5,0711227,99.09,29.97,2,1,2,有,有,無,整棟(戶)出租,17000,567.0,RPROMLOKQHKGFEA48CC
臺北市,大安區,1140811,華廈(10層含以下有電梯),住家用,三層,7,0570920,26.74,8.09,1,1,1,有,有,有,獨立套房,16500,2040.0,RPVNMLOKQHKGFFA88CC
臺北市,大安區,1140813,公寓(5樓含以下無電梯),住家用,四層,4,0580607,90.39,27.34,2,1,1,有,有,無,整棟(戶)出租,29500,1079.0,RPPOMLOKQHKGFFA38CC
臺北市,文山區,1140811,華廈(10層含以下有電梯),住家用,三層,6,0840724,42.61,12.89,1,0,1,有,無,有,獨立套房,15000,1164.0,RPPNMLPKQHKGFAA87CC
臺北市,文山區,1140812,公寓(5樓含以下無電梯),住家用,四層,5,0681231,78.36,23.7,3,2,1,有,有,無,整棟(戶)出租,25500,1076.0,RPSNMLPKQHKGFAA18CC
臺北市,文山區,1140815,華廈(10層含以下有電梯),多戶住宅,六層,7,1120808,25.46,7.7,1,0,1,有,無,有,獨立套房,18000,2337.0,RPWNMLPKQHKGFAA58CC
臺北市,中正區,1140812,公寓(5樓含以下無電梯),住家用,三層,5,,25.63,7.75,1,1,1,有,無,無,獨立套房,8000,1032.0,RPXNMLPKQHKGFAA68CC
臺北市,文山區,1140814,公寓(5樓含以下無電梯),住家用,一層,4,0630109,70.48,21.32,3,2,1,有,有,無,整棟(戶)出租,33000,1548.0,RPQOMLPKQHKGFAA08CC
