樣本編號,性別,年齡,地區代碼,教育程度,是否完成學業,抽樣權數
701112,Male,22,4,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.16223124828666
702103,Female,20,4,College (continue with 6a2),"No, I am still a student",1.16763824576469
702209,Female,22,4,Two-year junior college,"No, I didn't graduate",1.16763824576469
709112,Female,24,4,Master's degree (continue with 6a2),"Yes, I graduated",1.25908361057793
709203,Male,20,4,College (continue with 6a2),Not applicable,1.25908361057793
717109,Female,24,4,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.16223124828666
717121,Female,21,4,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",1.16223124828666
717211,Male,22,4,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",1.16223124828666
722212,Male,22,4,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.16763824576469
722219,Male,19,4,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.16763824576469
722221,Female,19,4,Five-year junior college,"No, I am still a student",1.16763824576469
801116,Female,24,5,Five-year junior college,"Yes, I graduated",0.991617947824746
801121,Male,20,5,College (continue with 6a2),Not applicable,0.991617947824746
811109,Female,19,5,Five-year junior college,"No, I am still a student",1.01626792045268
811117,Male,19,5,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.01626792045268
811129,Male,19,5,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.01626792045268
811131,Female,20,5,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",1.01626792045268
811216,Male,20,5,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,1.01626792045268
813101,Female,19,5,College (continue with 6a2),Not applicable,1.04670777851405
813106,Female,24,5,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.04670777851405
813136,Female,21,5,College (continue with 6a2),Not applicable,1.04670777851405
813212,Male,23,5,Master's degree (continue with 6a2),"No, I am still a student",1.04670777851405
813222,Male,20,5,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.04670777851405
820105,Male,23,5,College (continue with 6a2),"Yes, I graduated",1.01626792045268
820109,Female,21,5,College (continue with 6a2),"No, I am still a student",1.01626792045268
820115,Female,22,5,College (continue with 6a2),"No, I am still a student",1.01626792045268
820127,Female,21,5,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,1.01626792045268
820205,Female,19,5,College (continue with 6a2),Not applicable,1.01626792045268
821120,Male,19,5,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.29325587138695
821203,Female,24,5,Master's degree (continue with 6a2),"No, I am still a student",1.29325587138695
821212,Female,22,5,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",1.29325587138695
830115,Male,24,5,Junior high school,"Yes, I graduated",0.991617947824746
830119,Female,19,5,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.991617947824746
830131,Male,23,5,College (continue with 6a2),"No, I didn't graduate",0.991617947824746
830138,Male,21,5,Vocational senior high school (continue with 6a1),"Yes, I graduated",0.991617947824746
830204,Male,23,5,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.991617947824746
830228,Female,23,5,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.991617947824746
830238,Female,22,5,College (continue with 6a2),"No, I am still a student",0.991617947824746
931208,Male,21,5,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.29325587138695
931213,Female,22,5,College (continue with 6a2),"Yes, I graduated",1.29325587138695
931218,Female,21,5,College (continue with 6a2),"No, I am still a student",1.29325587138695
946123,Female,19,5,Vocational senior high school (continue with 6a1),"Yes, I graduated",1.29325587138695
946124,Male,24,5,"Institute of technology, science and technological college (continue with 6a2)","No, I didn't graduate",1.29325587138695
946125,Male,23,5,Senior high school (continue with 6a1),"Yes, I graduated",1.29325587138695
946227,Female,22,5,College (continue with 6a2),"No, I am still a student",1.29325587138695
973112,Male,24,6,Vocational senior high school (continue with 6a1),"Yes, I graduated",0.964992309007118
973122,Male,24,6,College (continue with 6a2),"Yes, I graduated",0.964992309007118
973124,Female,24,6,College (continue with 6a2),"Yes, I graduated",0.964992309007118
981209,Male,22,6,"Institute of technology, science and technological college (continue with 6a2)","No, I didn't graduate",1.04294714282112
981214,Male,20,6,College (continue with 6a2),"No, I am still a student",1.04294714282112
